birth_date,sex_flg,enter_date,cust_id
1934-03-20,2,2001-02-07,1
1936-04-02,2,2009-03-08,2
1938-09-06,2,1993-10-13,3
1941-10-05,2,2010-08-11,4
1941-11-10,2,2006-01-04,5
1941-12-01,1,2009-09-22,6
1942-03-22,2,2008-08-28,7
1942-04-01,1,2004-12-21,8
1943-01-06,1,2006-02-03,9
1945-02-07,2,2010-02-28,10
1946-10-09,2,2004-04-06,11
1947-04-22,2,2008-04-15,12
1947-11-06,2,2009-07-09,13
1948-09-07,2,2010-03-15,14
1948-10-07,1,2009-12-25,15
1947-03-12,2,2008-11-09,16
1949-09-10,2,1999-12-13,17
1950-03-03,2,1998-12-28,18
1950-08-20,1,2010-12-09,19
1951-03-08,2,1994-11-28,20
1951-03-13,2,2010-11-15,21
1951-08-24,2,2002-01-04,22
1951-09-26,2,2009-11-05,23
1952-08-06,2,2011-01-06,24
1953-03-22,2,2010-08-20,25
1953-06-29,2,2006-07-18,26
1954-03-14,2,2009-11-10,27
1954-08-19,2,2008-11-03,28
1954-11-15,2,2010-03-21,29
1955-01-23,2,2003-11-11,30
1955-04-15,2,2005-12-14,31
1956-03-03,2,2001-12-22,32
1956-07-30,2,2008-10-21,33
1956-12-01,2,2006-04-01,34
1958-07-02,2,2009-11-01,35
1958-10-07,2,2010-01-20,36
1959-07-27,2,2009-07-22,37
1961-05-20,2,2005-10-12,38
1961-06-04,2,2009-11-12,39
1962-06-07,1,2006-01-12,40
1962-09-19,2,2009-09-16,41
1963-10-27,2,2002-10-29,42
1962-10-19,2,2010-11-28,43
1964-02-28,1,1999-01-07,44
1965-02-06,2,2000-05-07,45
1965-03-20,2,2009-06-25,46
1965-09-03,2,2000-11-24,47
1965-10-01,2,2003-04-21,48
1966-03-15,2,1998-11-23,49
1967-01-12,2,1999-06-08,50
1967-01-21,1,2006-11-01,51
1968-03-01,2,2000-07-25,52
1968-10-26,2,2002-02-20,53
1970-04-10,2,2008-07-10,54
1971-03-04,1,2005-05-26,55
1971-03-18,2,2004-02-01,56
1971-06-11,2,2010-08-02,57
1971-10-03,2,2007-12-17,58
1972-02-12,2,2003-05-21,59
1972-03-09,2,2010-08-25,60
1972-10-01,2,2010-10-17,61
1973-05-03,1,2007-06-18,62
1973-09-25,2,2009-05-21,63
1973-11-20,2,2005-05-13,64
1974-01-12,2,2010-03-31,65
1974-06-02,2,2009-07-06,66
1974-07-11,2,2007-06-17,67
1975-05-03,1,2009-01-09,68
1976-01-18,2,2007-01-24,69
1976-01-07,2,2009-07-28,70
1977-07-20,2,2010-02-21,71
1978-04-28,2,2010-11-20,72
1952-03-08,2,2011-02-18,73
1964-06-01,1,2011-03-17,74
1972-12-25,2,2011-04-30,75
1970-10-10,2,2011-06-01,76
1972-07-07,2,2011-06-10,77
1953-10-11,2,2011-06-26,78
1962-08-20,1,2011-06-28,79
1957-04-29,2,2011-07-14,80
1960-02-20,2,2011-07-17,81
1949-06-09,2,2011-08-28,82
1971-05-14,1,2011-09-08,83
1970-11-11,2,2011-12-21,84
1961-09-06,1,2012-02-01,85
1970-02-13,2,2012-02-28,86
1959-01-06,2,2012-03-22,87
1974-12-05,1,2012-04-14,88
1965-12-03,1,2012-06-04,89
1970-07-10,2,2012-08-27,90
1965-06-10,1,2012-10-10,91
1946-05-02,2,2012-10-26,92
1937-12-12,2,2006-01-09,93
1952-12-04,2,1998-03-30,94
1956-07-21,2,2001-03-15,95
1973-04-16,2,2006-10-04,96
1948-06-01,2,2011-05-23,97
1970-01-22,2,2011-11-20,98
1973-04-21,2,2012-03-26,99
1960-05-11,2,2012-09-09,100
